,Ref_x,Subject,Locale_processed
45983,5182526,DOYO SAS,FRA
45984,5182527,DONATI FRANCE,FRA
45990,5182553,DAIMAY FRANCE SAS,FRA
45991,5182556,CXD FRANCE,FRA
45994,5182562,CREATIC EMBALL SERVICES,FRA
45995,5182563,COTON BLANC,FRA
45996,5182564,COTE TERRASSE,FRA
45998,5182571,CONSTELLIUM INTERNATIONAL,FRA
45999,5182572,CONSTELLIUM INTERNATIONAL,FRA
46000,5182573,CONSTELLIUM INTERNATIONAL,FRA
46005,5182590,COCORICO,FRA
46006,5182592,CMGA,FRA
46008,5182594,CMA/CGM HORS CEVA,FRA
46009,5182595,CMA/CGM,FRA
46011,5182599,CHROMELEC GROUPE ET INDUS,FRA
46013,5182601,CHILDREN STORY,FRA
46014,5182606,CHATARD,FRA
46016,5182609,CHANSARD FERMENTATION,FRA
46017,5182613,CENTAURE SERVICE,FRA
46018,5182614,CELIA SERVICES,FRA
46019,5182616,CD PISCINES,FRA
46021,5182623,CARRIERE PISCINES EVOLUTI,FRA
46023,5182626,CAPSYS,FRA
46024,5182627,CAPILLUM,FRA
46026,5182630,CAMPING DOMAINE DU PLAN,FRA
46027,5182631,CAMPING DE LESPERANCE,FRA
46028,5182632,CAMPING BEAU RIVAGE,FRA
46029,5182638,BV PROTO,FRA
46030,5182644,BROSSERIE JULIO,FRA
46032,5182646,BRIANE MANAGEMENT,FRA
46037,5182657,BONDUELLE SA,FRA
46038,5182658,BONDUELLE,FRA
46039,5182665,BISCUIT HOLDING,FRA
46042,5182684,BCO PISCINES,FRA
46046,5182694,B2B FRUIT TRADING,FRA
46047,5182696,AXIUM SOLUTIONS ALUMINIUM,FRA
46048,5182697,AXG PRODUCTIONS SAS,FRA
46049,5182698,AXE DV,FRA
46052,5182709,ATLANTIQUE ALIMENTAIRE,FRA
46053,5182713,ASSISTANCE LOGISTIQUE SER,FRA
46055,5182716,ARTS ENERGY,FRA
46056,5182717,Arkema SA,FRA
46057,5182718,Arkema SA,FRA
46058,5182719,Arkema SA,FRA
46059,5182720,ARJOBEX HOLDING,FRA
46061,5182726,AQUA POOL & CO,FRA
46062,5182727,AQUA PENSEZ VOUS,FRA
46063,5182730,APECYD INTERNATIONAL FRAN,FRA
46068,5182739,AMPLITUDE LASER GROUP,FRA
46069,5182743,ALTIS PLUS,FRA
46070,5182746,Alstom S.A.,FRA
46074,5182757,AJC PROPRETE,FRA
46075,5182759,Air Liquide S.A.,FRA
46077,5182762,AGUETTANT SANTE SA,FRA
46078,5182763,AGUETTANT DIAGNOSTICS,FRA
46080,5182776,ADISSEO FRANCE SAS,FRA
46082,5182779,AD HOC PISCINES,FRA
46083,5182782,ACI GROUPE,FRA
46084,5182783,ACDIS FRANCE,FRA
46085,5182787,ACADEMIE DU FEU,FRA
46086,5182789,ABRIS LOISIRS CONFORT,FRA
46087,5182792,ABAM PISCINES SAS,FRA
46088,5182793,A.P PISCINES.,FRA
46089,5182795,3EME DEGRE,FRA
46097,5182806,ZF INVEST,FRA
46112,5182823,YPHEN,FRA
46128,5182840,YDEO,FRA
46303,5183030,VILLAGES NATURE DE VAL,FRA
46337,5183067,VAUDAUX EQUIPEMENTS,FRA
46343,5183075,VALYON SAS,FRA
46346,5183080,VALLOUREC TUBES SAS,FRA
46378,5183117,UNION COOP AGRICOLE SUD S,FRA
46442,5183188,TRANSPORTS ROMIEU EFOSUD,FRA
46443,5183189,TRANSPORTS BLANC,FRA
46456,5183205,TOUBOIS,FRA
46457,5183206,TOTALENERGIES BIOGAZ FRAN,FRA
46575,5183337,TGP,FRA
46580,5183343,TERRYLOIRE,FRA
46598,5183365,TECHNIP ENERGIES FRANCE,FRA
46599,5183366,TECHNICOLOR,FRA
46601,5183368,TEBIOR,FRA
46610,5183380,TARKETT,FRA
46647,5183420,SYNDICAT MIXTE POUR LEXP,FRA
46648,5183422,SYNDICAT MIXTE DE ST BRIE,FRA
46649,5183423,SYNDICAT MIXTE DE PIERREF,FRA
46650,5183424,SYNDICAT MIXTE DE L AEROD,FRA
46651,5183425,SYNDICAT MIXTE DE,FRA
46652,5183426,SYNDICAT MIXTE AEROPORT,FRA
46731,5183518,STEELCASE SAS,FRA
46733,5183520,STE TRAPIL,FRA
46734,5183521,STE FPM SA/GPE MARTINET,FRA
46752,5183543,ST DUPONT,FRA
46761,5183555,SPLAR SOCIETE PUBLIQUE LO,FRA
46762,5183556,SPLAR SOCIETE PUBLIQUE,FRA
46803,5183602,SOFIWAGA1,FRA
46807,5183607,SOCOMEC SAS,FRA
46808,5183609,SOCIETE DU CANAL SEINE-NO,FRA
46809,5183610,SOCIETE DEXPLOITATION DE,FRA
46810,5183611,SOCIETE DEXPLOITATION AE,FRA
46811,5183613,SOCIETE DES PRODUITS DAR,FRA
46812,5183614,SOCIETE DE LAEROPORT DE,FRA
46813,5183615,SOCIETE DE LA ROCADE,FRA
46814,5183618,SOCIETE AEROPORTUAIRE DE,FRA
46818,5183622,SOC DU PIPELINE MEDITERRA,FRA
46824,5183632,SME-ENVIRONNEMENT,FRA
46918,5183735,SERFIM,FRA
46922,5183740,SENALIA UNION,FRA
46939,5183758,SEALAV - STE DEXPLOITATI,FRA
46940,5183759,SEALAPB (SOCIÉTÉ DEXPLOI,FRA
46949,5183768,SCORPIUS,FRA
46950,5183773,SCIERIE ET EXPLOITATION F,FRA
46951,5183774,SCIERIE DESCOURVIERES,FRA
46952,5183775,SCIERIE CAMILLE JACQUEMIN,FRA
46953,5183776,SCIERIE BERNIER,FRA
46954,5183777,SCI LES GOURETTES,FRA
46955,5183778,SCI A12-A86,FRA
46956,5183779,SCI 15 FSH,FRA
46962,5183790,SCE GROUPE KERAN,FRA
46966,5183794,SCA TERRES DU SUD,FRA
46967,5183796,SCA LES FRUITIERES DE SAV,FRA
46973,5183805,SASU GRAND NANCY AEROPOLE,FRA
46974,5183806,SASU FOREST,FRA
46976,5183809,SAS SIEMO,FRA
46977,5183810,SAS NCS PYROTECHNIE ET,FRA
46978,5183811,SAS LUSCIE,FRA
46979,5183813,SAS HOLDING CAILLE,FRA
