,Ref_x,Subject,Locale_processed
24255,5063784,Drägerwerk AG,DEU
24256,5063785,Drägerwerk AG,DEU
24257,5063786,Dr. Schneider Kunststoffwerke GmbH,DEU
24261,5063790,dormakaba International Holdin g GmbH,DEU
24263,5063794,DOMO Chemicals Deutschland Gmb H,DEU
24264,5063795,Dirk Rossmann GmbH,DEU
24265,5063796,Dirk Rossmann GmbH,DEU
24266,5063797,Dinghan SMART Railway Technolo gy GmbH,DEU
24267,5063798,DIEPA Drahtseilwerk Dietz GmbH & Co. KG,DEU
24271,5063803,Deutsches Zentrum für Neuro- d egenerative Erkrankungen e.V.,DEU
24272,5063804,Deutsches Zentrum für Luft- un d Raumfahrt e.V. Allgem. Recht,DEU
24273,5063805,Deutsches Krebsforschungszentr um Finanz- und Rechnungswesen,DEU
24280,5063814,Deutsche Diabetes Forschungsge sellschaft e.V,DEU
24281,5063815,Deutsche Bank Aktiengesellschaft,DEU
24282,5063816,DEUDAN DEUTSCH-DAENISCHE ERDGA S- TRANSPORT-GESELLSCHAFT MBH,DEU
24283,5063817,DEUDAN DEUTSCH-DAENISCHE ERDGA S- TRANSPORT-GESELLSCHAFT MBH,DEU
24294,5063834,DAIMLER TRUCKS HOLDING AG,DEU
24295,5063835,DAIMLER TRUCKS HOLDING AG,DEU
24305,5063851,Creos Deutschland GmbH,DEU
24306,5063853,Covivio Alexanderplatz . S. .r .l.,DEU
24307,5063854,Covestro AG,DEU
24308,5063855,Covestro AG,DEU
24309,5063856,Covestro AG,DEU
24310,5063857,Covestro AG,DEU
24321,5063895,Charité Universitätsmedizin Be rlin,DEU
24330,5063933,C.H. Boehringer Sohn,DEU
24331,5063934,C.H. Boehringer Sohn,DEU
24337,5063943,Brose Fahrzeugteile SE & Co.,DEU
24338,5063954,Bremskerl-Reibbelagwerke Emmer ling GmbH & Co. KG,DEU
24343,5063961,BRATA Produktions- und Vertrie bsgesellschaft KG,DEU
24347,5063978,Blanc & Fischer Familienholdin g GmbH,DEU
24348,5063979,Blanc & Fischer Familienholdin g GmbH,DEU
24366,5064006,Beck Sensortechnik GmbH,DEU
24367,5064008,Bayerische Motoren Werke,DEU
24368,5064009,Bayerische Motoren Werke,DEU
24369,5064010,Bayerische Motoren Werke,DEU
24370,5064011,Bayerische Motoren Werke,DEU
24371,5064012,Bayerische Motoren Werke,DEU
24372,5064013,Bayerische Motoren Werke,DEU
24373,5064014,Bayerische Motoren Werke,DEU
24374,5064015,Bayerische Motoren Werke,DEU
24375,5064016,Bayerische Motoren Werke,DEU
24376,5064018,Bayer AG*,DEU
24377,5064019,Bayer AG*,DEU
24378,5064020,Bayer AG*,DEU
24379,5064021,Bayer AG*,DEU
24380,5064022,Bayer AG*,DEU
24392,5064041,Axel Springer SE,DEU
24393,5064043,Auto-Scholz GmbH & Co. KG,DEU
24397,5064059,ASOCIADOS CONSTRUCTORES DNBR,DEU
24399,5064068,ARLANXEO HOLDING BV,DEU
24400,5064069,ARLANXEO HOLDING BV,DEU
24408,5064093,Altana Aktiengesellschaft,DEU
24409,5064094,Altana Aktiengesellschaft,DEU
24410,5064095,Altana Aktiengesellschaft,DEU
24415,5064104,Alpenhain Käsespezialitäten Gm bH,DEU
24416,5064107,Aldi Einkauf SE & Co. oHG,DEU
24420,5064113,AKG Thermotechnik Internationa l GmbH & Co. KG,DEU
24424,5064119,AGO GmbH Energie + Anlagen,DEU
24436,5064141,"ABEINSA JUAREZ N-III, SA DE CV",DEU
27464,5075571,Bluesky,DEU
27479,5075588,VTG Aktiengesellschaft,DEU
27482,5075592,Vitesco Technologies Group Aktiengesellschaft,DEU
27489,5075608,Scout24 AG,DEU
27490,5075609,Schwarz Dienstleistung KG,DEU
27491,5075610,Scholz Recycling GmbH,DEU
27497,5075636,MAHLE AG,DEU
27498,5075637,MAHLE AG,DEU
27499,5075638,MAHLE AG,DEU
27507,5075653,HUK-COBURG Haftpflicht-Unterstützungs-Kasse kraftfahrender Beamter Deutschlands,DEU
27509,5075657,HENKEL AG & CO KGAA,DEU
27510,5075658,Hapag-Loyd AG,DEU
27512,5075664,EVONIK Industries AG *,DEU
27515,5075669,DEUTSCHE BORSE AG,DEU
27516,5075670,Deutsche Bank Aktiengesellschaft,DEU
27528,5075690,C.H. Boehringer Sohn,DEU
27529,5075691,C.H. Boehringer Sohn,DEU
